State,Done,Task,Due Date,Priority,Parent Task
😀,Yes,Re,,✨ Medium,
😀,Yes,SRV1ne 360 Tables and Checklists (2024)_Tax Checklist.A1_H93,,✨ Medium,
😀,Yes,610271613,,✨ Medium,
😀,Yes,JB LLP Tasks,"June 16, 2024 12:00 AM (EDT)",✨ Medium,
😀,Yes,OIG2,,✨ Medium,
😀,Yes,Bad Google review deletion,,✨ Medium,
😀,Yes,New Task From Notes,"June 27, 2024",✨ Medium,
😀,Yes,What-You-Need-to-Know-About-Moving-Your-Child-Custody-Case-Out-of-Indiana-1024x644,,✨ Medium,
😀,Yes,US-based,,✨ Medium,
😀,Yes,Artículos quincenales #blog,,✨ Medium,
😀,Yes,Zoho Books para contabilidad,,✨ Medium,
😀,Yes,Prepare a witness list and gather witness statements.,"June 27, 2024",✨ Medium,
😀,Yes,Notices Reports,"January 2, 2024",✨ Medium,
😀,Yes,Zoho Tables Deep Dive Webinar | Register now,,✨ Medium,
😀,Yes,Your order has been prescribed,,✨ Medium,
😀,Yes,SRV_Capital_Holdings_Inc._Master_Service_agreement_completed 01-01-2024 06_00_25_925,,✨ Medium,
😀,Yes,Finanzas y Contabilidad,,✨ Medium,
😀,Yes,Regions Bank requests feedback on your recent branch visit,,✨ Medium,
😀,Yes,Confirmación y preparación de pedido,,✨ Medium,
😀,Yes,"Siri Reminder June 16, 2024 at 10:14PM",,✨ Medium,
😀,Yes,Payroll Reports (If Applicable),"January 2, 2024",✨ Medium,
😀,Yes,USCISAliensChangeofAddressCard_Report,,✨ Medium,
😀,Yes,Zoho Books - Your subscription is renewed,,✨ Medium,
😀,Yes,Square Debit Card: Transaction Declined,,✨ Medium,
😀,Yes,Twilio usage summary for June 2024 is now available,,✨ Medium,
🔴 Running Late,No,07192024_INVOICE,"July 31, 2024",✨ Medium,
😀,Yes,Your statement is ready for account ending in (...9266),,✨ Medium,
😀,Yes,Payment reminder,,✨ Medium,
😀,Yes,Trash Day,"July 31, 2024",✨ Medium,
😀,Yes,Gestión de Pedidos,,✨ Medium,
😀,Yes,$7 Pizzas for Cody 🍕,,✨ Medium,
🔴 Running Late,No,Client Intake,"August 15, 2024 → August 15, 2024",✨ Medium,
😀,Yes,Execute plans,,✨ Medium,
😀,Yes,SRV1ne Service Terms_completed,,✨ Medium,
😀,Yes,"Cody, these SEO, Internet Marketing, and Marketing projects and contests might interest you",,✨ Medium,
😀,Yes,Content Calendar,,✨ Medium,
🔴 Running Late,No,Your Shippo Invoice Receipt,"July 27, 2024",✨ Medium,
😀,Yes,06172024_Marathon Pipe Line llc,"June 28, 2024",✨ Medium,
😀,Yes,Monthly,,✨ Medium,
😀,Yes,"Since you set a Office Assistant alert, improve your Office Assistant skills with these courses",,✨ Medium,
😀,Yes,Pictures,,✨ Medium,
😀,Yes,Are you the right person to send this report?,,✨ Medium,
😀,Yes,SRVGROUP BACKUP,,✨ Medium,
😀,Yes,Publicaciones semanales #socialmedia,,✨ Medium,
😀,Yes,Carlos Contreras Hernandez 17-05-2024 03_18_58_209,,✨ Medium,
😀,Yes,Zaitullah Jan Resume for KNowledge,,✨ Medium,
😀,Yes,Square Debit Card: Transaction Declined,,✨ Medium,
😀,Yes,New Portal for SRV1,,✨ Medium,
😀,Yes,Delivered: Your Amazon.com order #113-0906554-4375414,,✨ Medium,
😀,Yes,Bills,,✨ Medium,
😀,Yes,Delivery delayed,,✨ Medium,
😀,Yes,610274510,,✨ Medium,
😀,Yes,"Mail a Copy to the Plaintiff's Attorney: Send a copy of the filed response to the plaintiff's attorney, Kara James, Esq., at Zwicker & Associates, P.C.","June 18, 2024",✨ Medium,
😀,Yes, Update: Your registration is complete 🎉,,✨ Medium,
😀,Yes,D03F27B5A68320240519160235_album_local_cache,,✨ Medium,
😀,Yes,2024.05.17 - Doc Scanner (1),,✨ Medium,
😀,Yes,[Action Requested] Participate in a Google Ads user study,,✨ Medium,
😀,Yes,TreverB-signedAgreement,,✨ Medium,
😀,Yes,"Your Amazon.com order of ""Plikapli Scrolling LED Car..."" has shipped!",,✨ Medium,
😀,Yes,CertifiedCopiesAttachments (2),,✨ Medium,
😀,Yes,"Your Amazon.com order of ""Wet Platinum Silicone-Based..."" has been canceled.",,✨ Medium,
😀,Yes,Cody: 2 Credit Report Alerts - Review ASAP,,✨ Medium,
😀,Yes,Update 1040,,✨ Medium,
😀,Yes,DS70_Lite_64_NA,,✨ Medium,
😀,Yes,Purchase Contracts,,✨ Medium,
😀,Yes,SEO Optimization,,✨ Medium,
😀,Yes,Publish your favorite Applets,,✨ Medium,
😀,Yes,Join the Fun with Our Product Promotion!🎁🤑,,✨ Medium,
😀,Yes,"Your Amazon.com order of ""Epson® Workforce® Pro..."".",,✨ Medium,
😀,Yes,An invoice was paid by Cody Rice-Velasquez! (#000037),,✨ Medium,
😀,Yes,1a6b0375-74e3-4d60-bda9-0273f5920dd9.png,,✨ Medium,
😀,Yes,CertifiedCopiesAttachments (4),,✨ Medium,
😀,Yes,9. Compliance Requirements,,✨ Medium,
😀,Yes,Your Charging Access is Now Unavailable,,✨ Medium,
😀,Yes,Here's your agenda view for the week,,✨ Medium,
😀,Yes,automations,,✨ Medium,
🔴 Running Late,No,"07192024_We need information from you to process your Form W-7, ","July 27, 2024",✨ Medium,
😀,Yes,02012024_Name_ CLAUDIA GONZALEZ ARRONIS LLC,"July 4, 2024",✨ Medium,
😀,Yes,Update 1065,"June 13, 2024",✨ Medium,
😀,Yes,Gather financial records of Servicios Rice-Velasquez Tax & Multiservice LLC.,"June 19, 2024",✨ Medium,
😀,Yes,Collect relevant contracts or agreements.,"June 26, 2024",✨ Medium,
😀,Yes,"06212024_Consoridate Debt Up to $75,000","July 7, 2024",✨ Medium,
😀,Yes,Export Statements,,✨ Medium,
😀,Yes,06262024_Notary Acknowledgment_,"July 2, 2024",✨ Medium,
😀,Yes,An invoice was paid by Zaitullah Jan Khebarkhil! (#000032),,✨ Medium,
