Name,Service ID CRM,Description,Unit Rate,Unit Price,Minus Overhead .22,Commission Rate,Commision Amount,Service Duration (hours),Product Code caT,SubCategory,Entity,Product Type,Service Tags,Product Active,Parent item,Sub-item,A-a-Cart,Bundle Savings,Form,CRM Permalink
1. Business Formation and Compliance,,"Business Formation and Compliance: Your Gateway to Success!

- Seamless business setup process
- Ensure compliance with local regulations
- Expert guidance to navigate legal requirements
- Tailored solutions for your unique business needs

Start your entrepreneurial journey with confidence. Utilize our Business Formation and Compliance service today to lay a strong foundation for your business success!",Unit,$0.00 ,0,0.2,0,3,BIZ,Main,Indiana Secretary of State,Service,"Business Licensing, Entity Formation",Yes,,"Federal BOIR Filing Services (Federal%20BOIR%20Filing%20Services%20e8b04d23705c46748d22d80807a82c4f.csv), Business Dissolution Services (Business%20Dissolution%20Services%2095d867e9a48b4872b0cb71de963c9623.csv), Business Strategic Planning & Compliance (Business%20Strategic%20Planning%20&%20Compliance%205a124844f04046a69d6ea919bdec94de.csv), Indiana Business DBA/Fictitious Name Registration (Indiana%20Business%20DBA%20Fictitious%20Name%20Registration%20bb279f16873f4819997cc93b3fc45c74.csv), Indiana BMV Duplicate Title Application (Indiana%20BMV%20Duplicate%20Title%20Application%2015df84a04402815980a0c5bc60d86627.csv), Indiana BMV Services Plates (Indiana%20BMV%20Services%20Plates%2015df84a04402816d86d3cba68acf05c2.csv), Registered Agent Services (Registered%20Agent%20Services%20e589c5314f9647ef9d2df69c02e27147.csv), Business Core Essentials: State Registration, Merchant License and EIN Application (Business%20Core%20Essentials%20State%20Registration,%20Merch%20164f84a04402801ab4c6da02327ce8bf.csv), Indiana Business Entity Report (Indiana%20Business%20Entity%20Report%2051709c0274fa4bea943b32638a5db3b6.csv)",1533,,,
2. Tax Services and Accounting,,"Unlock your business potential with our comprehensive Tax Services and Accounting solutions!

- Entity Formation and Registration
- Business Licensing
- Corporate Governance

Our expert team is dedicated to ensuring your business complies with all regulations while maximizing efficiency. Take the first step towards financial success—contact us today to learn more about how we can support your business needs!",Unit,$0.00 ,0,0.2,0,3,TAX,Main,Internal Revenue Service,Service,"Business Licensing, Corporate Governance, Entity Formation",Yes,,"Tax Service X.  709-Estate & Gift Tax Return Filing (Tax%20Service%20X%20709-Estate%20&%20Gift%20Tax%20Return%20Filing%204551228cb0e244a99894667b2b2b91c6.csv), Tax Service X. 1040x-Amended Tax Return Filing (Tax%20Service%20X%201040x-Amended%20Tax%20Return%20Filing%2092d2441ff0fe4a9abb21f990b05066ed.csv), Tax Service X. 990-Non-Profit Tax Return Preparation (990) (Tax%20Service%20X%20990-Non-Profit%20Tax%20Return%20Preparatio%20465b64250f7b49f2b8815b34db588a77.csv), Tax Service X5. K1 Add Ons (Tax%20Service%20X5%20K1%20Add%20Ons%2015df84a0440281a7a0a4cb7afea91950.csv), Tax Service X4. Additional Forms (Tax%20Service%20X4%20Additional%20Forms%2015df84a04402815b94bde194922afa0b.csv), Tax Service X3. Additional State Returns (Tax%20Service%20X3%20Additional%20State%20Returns%2015df84a04402812793bad8025d90bc58.csv), Tax Service X2. Transaction Review (Tax%20Service%20X2%20Transaction%20Review%2015df84a0440281c4854ae9d70cf59010.csv), Tax Service X1. Bank Statement Review (Tax%20Service%20X1%20Bank%20Statement%20Review%2015df84a04402819bb39bd5aa7d78c451.csv), Tax Service S. Sales Tax Return Filing (Tax%20Service%20S%20Sales%20Tax%20Return%20Filing%2015df84a044028155ac1bde79afc2a680.csv), Tax Service X.  940-45-Payroll Tax Return Preparation (Tax%20Service%20X%20940-45-Payroll%20Tax%20Return%20Preparatio%2012e4526f887e45e7a3c277242bbb7c9e.csv), Tax Service N. 1099 Filings (Tax%20Service%20N%201099%20Filings%2015df84a044028183ae38efb76979c789.csv), Tax Service I. ITIN Application (Tax%20Service%20I%20ITIN%20Application%2015df84a0440281248d5fdc4aa7c3f64f.csv), Tax Service F. Corporate - Business Tax Filing (1120S-1120 with state) (Tax%20Service%20F%20Corporate%20-%20Business%20Tax%20Filing%20(112%2015df84a0440281449b74f241ec020a43.csv), Tax Service E. Business Partners (Tax%20Service%20E%20Business%20Partners%2015df84a044028137b971f6793e4f4052.csv), Tax Service D. Business Owner Return (Tax%20Service%20D%20Business%20Owner%20Return%2015df84a0440281b7b4d6e844bc9949d9.csv), Tax Service C. Contractor Return (Tax%20Service%20C%20Contractor%20Return%2015df84a04402818d99c3f60b278966d2.csv), Tax Service B. Head of Household (Tax%20Service%20B%20Head%20of%20Household%2015df84a0440281a89ce8cc95512cba5d.csv), Tax Service A. Individual Return (Tax%20Service%20A%20Individual%20Return%2015df84a04402815ebbc7f1242c1a052c.csv), Tax Service XX. Tax Resolution & IRS Representation (Tax%20Service%20XX%20Tax%20Resolution%20&%20IRS%20Representation%20120645cf643d46779e52ad5cfb683d8e.csv), Tax Service XX. Tax Planning & Advisory Services (Tax%20Service%20XX%20Tax%20Planning%20&%20Advisory%20Services%206272e174f09f4c42b8eb55bea7560487.csv)",2772,,All,
3. HR & Administrative Services,,"Unlock the potential of your workforce with our comprehensive HR & Administrative Services!

- Expert HR Documentation and Policies
- Streamlined Employee Benefits and Management
- Effective Training and Compliance Solutions

Enhance your organization's efficiency and employee satisfaction with our tailored services. Contact us today to elevate your HR practices!",Unit,$0.00 ,0,0.2,0,3,HRA,Main,Internal,Service,"Employee Benefits, Training Compliance, Workforce Management",Yes,,"Compensation & Benefits Planning (Compensation%20&%20Benefits%20Planning%20be0d7e28a3644e1eb941582078d69eae.csv), Electronic Payment Fee (Electronic%20Payment%20Fee%2015df84a044028166a0f7f14c75f403ee.csv), Leave Management Administration (Leave%20Management%20Administration%204fa012a2a02d44b59b1a9416a81d72b1.csv), HRIS Implementation (HRIS%20Implementation%2015df84a0440281f98815f17728f7bcd6.csv), HR Implementation (HR%20Implementation%2015df84a04402812fa378eb409f6c62ef.csv), HR Documentation & Policy Development (HR%20Documentation%20&%20Policy%20Development%205b2b04b1e6304e70bc4a69a3693c34e7.csv), HR Compliance Audits (HR%20Compliance%20Audits%2085e656d0d1d749378da519f988af1639.csv), HR Analytics & Reporting (HR%20Analytics%20&%20Reporting%20faeb96f82c8d4732afd32e791d75902b.csv), HR & Administrative Services (HR%20&%20Administrative%20Services%208819f1c6d51d4fe890aacbeb489cbf60.csv), Employee Handbook Creation (Employee%20Handbook%20Creation%20e3149f7060c24a8ea29b88a8fb68d233.csv), Employee Benefits Administration (Employee%20Benefits%20Administration%208503af24256f4c92981be97bbcc0b888.csv), Workplace Safety Compliance (Workplace%20Safety%20Compliance%209cb74f0106804768afb3f61aded16270.csv), Training Program Development (Training%20Program%20Development%20a328f5aa27d94c039079d395fa8c7df6.csv), Vendor Selection & Management (Vendor%20Selection%20&%20Management%200a49cc2600b74f09b06487e6dfbfb0e9.csv), Performance Management Systems (Performance%20Management%20Systems%20790d8b02eb1e444daf91f7941df34959.csv), Recruitment & Onboarding Support (Recruitment%20&%20Onboarding%20Support%2002f94a940cc645d1877a880976cf3ce1.csv)",21664.05,,,
4. IT Services,,"Unlock seamless IT solutions with our comprehensive IT Services! Our expert offerings ensure your technology runs smoothly and securely.
• Hardware and Network Setup
• Security and Maintenance
• Cloud and System Management
Experience peace of mind with our dedicated IT support. Contact us today to elevate your business's technology infrastructure!",Unit,$0.00 ,0,0.2,0,4,ITA,Main,Internal,Service,"Business IT Support, Comprehensive IT Solutions, Technology Integration Services",Yes,,"Technology Adoption Strategy (Technology%20Adoption%20Strategy%201c71db24d2ff4ba3b47bf62519be3bee.csv), Website Initial Setup (Website%20Initial%20Setup%2015df84a04402812b8b59ebaad61cd8c6.csv), System Maintenance & Updates (System%20Maintenance%20&%20Updates%20629d32b63ae44bb29c499ae30c65eb36.csv), Remote Access Solutions (Remote%20Access%20Solutions%20a82416dae14942559acf4cbae9b34fde.csv), Software Installation & Support (Software%20Installation%20&%20Support%206112cca3b41a4ab1b4a94308b6329811.csv), IT Training & Support (IT%20Training%20&%20Support%200e66e259d7e6495eb8e83287e4d5f8c3.csv), IT Infrastructure Planning (IT%20Infrastructure%20Planning%20c33a5b36e57745fdb24e4fdc30a1e190.csv), Hardware Setup & Installation (Hardware%20Setup%20&%20Installation%20e613107a9be64f338b0bbb84dac667c7.csv), Cloud Services (Cloud%20Services%20523ccd6c40184ec3a33a139866bd7c96.csv)",2191,,,
5. Marketing and Branding,,,,,0,,0,,,,,,,No,,,,,,
6. Document Services,,"Unlock seamless document solutions with our comprehensive Document Services! Whether you need to manage, print, or authenticate your important papers, we have you covered.
• Print and Certification Services: Ensure your documents are professionally printed and certified.
• Document Management: Organize and store your documents efficiently.
• Translation and Authentication: Get your documents translated and authenticated with ease.
Experience hassle-free document handling today! Contact us to learn more about how our services can meet your needs.",Unit,$0.00 ,0,0.2,0,2,DOC,Main,Internal,Service,"Document Solutions, Professional Printing, Translation Services",Yes,,"Apostille Services (Apostille%20Services%205d617594d216488db6171cc12dd2484f.csv), BMV SERVICE FEE (BMV%20SERVICE%20FEE%2015df84a044028138baabf83539f3aa9a.csv), Document Translation Services (Document%20Translation%20Services%20494b4442389b42458367aa4b407191bb.csv), Document Scanning & Digitization (Document%20Scanning%20&%20Digitization%2015197510a22b4be19441a84aae9a41c4.csv), Legal Document Preparation (Legal%20Document%20Preparation%203659c522f1d8469bb599dcb18e53f46b.csv), LFCEL01 (LFCEL01%2015df84a04402814ba21cd7b7ac2fb57a.csv), Notary Services (Notary%20Services%2055ee7173d40f4c65b62fd72c0b0ec7fa.csv), Print Services (Various Packages) (Print%20Services%20(Various%20Packages)%20dd3c7334889a4d0585df65b97f45fb41.csv), Print Service P-Passport Photo (Print%20Service%20P-Passport%20Photo%2015df84a0440281fd8203d6af7f9cdc55.csv), Print Service G-Custom (Print%20Service%20G-Custom%2015df84a0440281379bc0e91798cdb4a3.csv), Print Service F-15C5L60C100B (Print%20Service%20F-15C5L60C100B%2015df84a044028194bb5add5806059f56.csv), Print Service E-15C5L50C80B (Print%20Service%20E-15C5L50C80B%2015df84a044028184bce4c96ac87614ce.csv), Print Service D-10C4L40C50B (Print%20Service%20D-10C4L40C50B%2015df84a0440281f29b33c6ba9807b41e.csv), Print Service C-3C2L15C20B (Print%20Service%20C-3C2L15C20B%2015df84a04402814a84cad930b36ac5ca.csv), Print Service B-1C1L5C10B (Print%20Service%20B-1C1L5C10B%2015df84a044028180905ff533c8f60def.csv), Shipping (Shipping%2015df84a0440281b6bb61d270f754daef.csv), Passport Photo Services (Passport%20Photo%20Services%205f976df638be4ad1a39f443987bbe61d.csv), STAMPS (STAMPS%2015df84a04402819ea858d8932dc0fc9b.csv), Print Service A-0C1L2C4B (Print%20Service%20A-0C1L2C4B%2015df84a0440281d4b55cd00066e8b283.csv)",911.09,,,
7. Other Business Support,,"Unlock your business potential with our expert consulting services! Our tailored solutions are designed to elevate your organization through strategic insights and innovative approaches.

- Business Strategy: Develop a clear roadmap for success.
- Technology and Digital Transformation: Embrace the future with cutting-edge technology.
- Risk Management and Compliance: Safeguard your business with robust risk strategies.

Experience the difference our consulting services can make. Contact us today to start your journey towards success!",Unit,$0.00 ,0,0.01,0,5,COS,Main,Internal,Service,"Business Strategy, Digital Transformation, Risk Management",Yes,,"Project Consulting (Project%20Consulting%2015df84a044028150b09efda916772f49.csv), General Consult (General%20Consult%2015df84a0440281479919e6b4e48a6755.csv), Process Optimization (Process%20Optimization%207c126499089a4aaba521e22dc510fcb5.csv), Wedding Officiation (Wedding%20Officiation%2015df84a044028173a891fa6d79e3d04b.csv)",2796,,,
Apostille Services,,"Unlock the power of hassle-free document verification with our Apostille Services!

- Fast and reliable processing
- Expert guidance through the entire apostille process
- Compliance with international document standards
- Tailored solutions for personal and business needs

Experience peace of mind knowing your documents are in expert hands. Contact us today to streamline your apostille needs!",Unit,$49.00 ,38.22,0.2,7.644,3,DOC,,,Service,Document Solutions,Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
BMV SERVICE FEE,,,Unit,$300.00 ,234,0.2,46.8,2,DOC,,,Service,"Commission Management, Pricing Strategies, Service Fee",Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
"Business Core Essentials: State Registration, Merchant License and EIN Application",,"Unlock your business potential with our comprehensive Business Core Essentials package!

- State Registration: Ensure your business is legally recognized.
- Merchant License: Obtain the necessary permits to operate.
- EIN Application: Secure your Employer Identification Number for tax purposes.

For just $349.00, this one-hour service will streamline your business setup process. Don’t miss out on the opportunity to establish your business with confidence—get started today!",Package,$349.00 ,272.22,0.2,54.444,5,BIZ,State,,Service,"Business Licensing, Entity Formation",Yes,1. Business Formation and Compliance (1%20Business%20Formation%20and%20Compliance%2078d423d4f12d4eb8a34c14a13e66894b.csv),"Indiana and Local Tax Registration (Indiana%20and%20Local%20Tax%20Registration%2013bc5c3987684e8db68242dbc86c47c7.csv), Indiana Business Entity Formation (Indiana%20Business%20Entity%20Formation%206c1de0970d474536bb9ec553bbbd44a3.csv), Federal EIN Registration (Federal%20EIN%20Registration%20eb6d4539bf464552989436802cf77b75.csv)",467,0.3381088825,,
