title,section,parent_section,content,version
QiEOS Genesis,Front Matter Schema,,front_matter_schema: - {prop: title, type: string, description: "Human-readable title of the node."} - {prop: slug, type: string, description: "Unique filename-safe identifier (lowercase_underscored)."} - {prop: realm, type: string, options: [QiPersonal, QiBusiness, QiClients, QiVault, Archives], description: "Which universe this node belongs to."} - {prop: realm_slug, type: string, description: "Specific realm instance (inh, pp, qiops, qiadmin)."} - {prop: qi_decimal, type: string, description: "Sorting + categorical identity code (##.##.##-TYPE)."} - {prop: qid, type: string, description: "Permanent immutable node ID."} - {prop: type, type: string, options: [doc, asset, schema, workflow, worker, rule, site, project], description: "Type of object."} - {prop: node, type: string, options: [concept, file, asset, rule, task, entity], description: "Graph classification."} - {prop: keywords, type: array[string], description: "Search and retrieval descriptors."} - {prop: tags, type: array[string], description: "Organizational tags."} - {prop: context, type: string, description: "Semantic context for routing and RAG."} - {prop: aliases, type: array[string], description: "Alternative names for this node."} - {prop: created, type: datetime, description: "Creation timestamp."} - {prop: updated, type: datetime, description: "Last modification timestamp."} - {prop: version, type: string, description: "Semantic version number (semver)."} - {prop: status, type: string, options: [draft, active, canonical, archived], description: "Lifecycle state."} - {prop: system, type: string, options: [qinote, qios, qiclient, qipersonal, realm-local], description: "Subsystem grouping label."} - {prop: naming_strategy, type: string, options: [slug_only, qidecimal_slug], description: "Filename generation strategy."} - {prop: sort, type: number, description: "Manual sorting override value."} - {prop: related, type: array[string], description: "QIDs of related nodes."} - {prop: parents, type: array[string], description: "Parent nodes in the graph."} - {prop: children, type: array[string], description: "Child nodes in the graph."} - {prop: siblings, type: array[string], description: "Lateral peer nodes."} - {prop: references, type: array[string], description: "External references or sources."} - {prop: graph_weight, type: number, description: "Importance weighting in the QiGraph."} - {prop: orbit, type: string, options: [core, inner, mid, outer], description: "Conceptual orbit layer."} - {prop: entangled, type: array[string], description: "Nodes with dual-identity or deep linkage."} - {prop: summary, type: string, description: "Auto-generated semantic summary."},1
QiEOS Genesis,Overview,,"The foundational architecture, intent, and ontology of QiOS, the Qi Operating System, and its neural core, GINA. This document establishes: - the origin point - the governing principles - the core components - the rule structure - the semantic brain - the long-term philosophy - the eos of the QiOS ecosystem It is the Day Zero document, the ""QiEOS,"" the Big Bang.",1
QiEOS Genesis,Purpose of QiOS,,"QiOS exists to solve a persistent human problem: **information chaos at scale**. Where conventional operating systems focus on storage and retrieval, QiOS introduces: - semantic understanding - rule-governed structure - self-healing behavior - AI-native workflows - dynamic knowledge graphs - context-aware routing - governance-driven consistency QiOS transforms your digital universe into a **governed, intelligent ecosystem**.",1
QiEOS Genesis,Core Philosophy,,"QiOS is built on three foundational principles.",1
QiEOS Genesis,Governance Over Chaos,Core Philosophy,"Everything in QiOS is ruled by explicit laws: structure, naming, metadata, routing, and security. No randomness. No drift. Merged from: - governance - dark matter protection - rule-based organization",1
QiEOS Genesis,Semantics Over Storage,Core Philosophy,"QiOS does not store files. It **understands** them. Merged from: - semantics - ingestion - metadata - RAG - intelligent routing This transforms QiOS into a true **cognitive system**.",1
QiEOS Genesis,Automation Over Effort,Core Philosophy,"Manual sorting is obsolete. QiOS heals itself, normalizes itself, routes itself, and learns from corrections. Merged from: - automation - self-healing - realms - no manual intervention - lifelong memory **Trinity in one sentence:** Governed rules, semantic understanding, and self-healing automation form the DNA of QiOS.",1
QiEOS Genesis,The QiOS Ontology (System Species),,"QiOS organizes itself into object classes with explicit purpose. These are first‑class citizens in the OS and are enforced by the linter.",1
QiEOS Genesis,QiApps,The QiOS Ontology (System Species),UI‑driven applications and experiences.,1
QiEOS Genesis,QiWorkers,The QiOS Ontology (System Species),Autonomous modules handling ingestion, normalization, routing, vectorization, linting, dedupe, notifications, and learning.,1
QiEOS Genesis,QiComponents,The QiOS Ontology (System Species),Reusable UI and logic elements across QiApps.,1
QiEOS Genesis,QiWorkflows,The QiOS Ontology (System Species),Automation chains orchestrating processes.,1
QiEOS Genesis,QiData,The QiOS Ontology (System Species),Schemas, vector indexes, sheets, caches, policies, and tables.,1
QiEOS Genesis,QiRealms,The QiOS Ontology (System Species),"Meaning universes. A Realm answers **""who/what universe does this belong to?""** not ""what file type is it."" Realms are boundaries of context and ownership. ""Realms are pre-allowed by registry and may be enabled/disabled without schema migration."" Typical Realm roots: - **QiPersonal** (your private universe) - **QiBusiness** (QiAlly/Kiali operations) - **QiClients** (each client's universe) - **QiVault** (knowledge universe) - **QiPlayground** (Catchall Sandbox) - **QiResearch** (source material, references) - **QiTemp** - **Archives** (retired/cold universes) Realm examples: - A personal medical PDF belongs to **QiPersonal**. - A PunchPro contract belongs to **QiClients/punchpro**. - A QiOS spec belongs to **QiVault**.",1
QiEOS Genesis,QiAssets,The QiOS Ontology (System Species),"Files that are _not primarily knowledge text_ but still carry meaning. Assets are stored **inside Realms** because their context depends on ownership. Common asset types + extensions: - **Images:** `.png .jpg .jpeg .webp .gif .svg .heic` - **Video:** `.mp4 .mov .mkv .webm .avi` - **Audio:** `.mp3 .wav .m4a .ogg .flac` - **Design:** `.fig .psd .ai .sketch` - **Slides/Visual docs:** `.pptx .key .pdf` (when used as media/branding) - **Exports:** `.html .json .csv` (when they are rendered outputs, not canonical schemas) Asset placement examples: - Brand logo → `realms/qibusiness/assets/images/branding/` - Client before/after photos → `realms/qiclients/<slug>/assets/images/` - Sora ad video renders → `realms/qibusiness/assets/videos/ads/`",1
QiEOS Genesis,QiRules,The QiOS Ontology (System Species),Governance logic defining system behavior.,1
QiEOS Genesis,QiSecurity,The QiOS Ontology (System Species),Roles, permissions, access layers.,1
QiEOS Genesis,QiConnections,The QiOS Ontology (System Species),External integrations, secrets, and references.,1
QiEOS Genesis,QiSites,The QiOS Ontology (System Species),KB sites, portals, documentation surfaces.,1
QiEOS Genesis,QiDocs,The QiOS Ontology (System Species),Architecture docs, SOPs, diagrams, schemas.,1
QiEOS Genesis,QiDarkMatter,The QiOS Ontology (System Species),System substrate and infrastructure.,1
QiEOS Genesis,QiTemplates,The QiOS Ontology (System Species),Reusable scaffolds.,1
QiEOS Genesis,QiProjects,The QiOS Ontology (System Species),Structured deliverables.,1
QiEOS Genesis,QiPublish (disabled),,,1
QiEOS Genesis,QiLegal (disabled),,,1
QiEOS Genesis,GINA: The Neural Core,,"**GINA = Generative Intelligence Neural Archivist**. GINA performs: - ingestion - semantic extraction - chunking - embedding - context building - normalization - metadata injection - routing - dedupe - linter execution - feedback learning GINA is the **brain**, QiOS is the **body**, and the vector index is the **memory**.",1
QiEOS Genesis,The Seven Layers of QiOS Governance (The Constitution),,"The QiOS linter pipeline applies rules in strict layered order.",1
QiEOS Genesis,Layer 0 — Root Integrity,The Seven Layers of QiOS Governance (The Constitution),Ensures the universe is structurally sound.,1
QiEOS Genesis,Layer 1 — Dark Matter Physics,The Seven Layers of QiOS Governance (The Constitution),Protects system substrate and support structures.,1
QiEOS Genesis,Layer 2 — Realm Schema,The Seven Layers of QiOS Governance (The Constitution),Validates and restores realm folder structures.,1
QiEOS Genesis,Layer 3 — File Identity,The Seven Layers of QiOS Governance (The Constitution),Validates file legitimacy (type, MIME, placement).,1
QiEOS Genesis,Layer 4 — Naming (QiOS Naming Law v1.0),The Seven Layers of QiOS Governance (The Constitution),"Filenames follow `{slug}.{ext}`. Optional: `{qidecimal}_{slug}.{ext}`. Key rules: - enforce identity, not meaning - no dates in filenames - strip old date prefixes - stabilize references",1
QiEOS Genesis,Layer 5 — Metadata,The Seven Layers of QiOS Governance (The Constitution),"The self-describing file layer. Ensures: - front matter - timestamps - QiDecimal integrity - backlink preservation",1
QiEOS Genesis,Layer 6 — Semantic Routing,The Seven Layers of QiOS Governance (The Constitution),Uses embeddings + RAG to place files in correct realms.,1
QiEOS Genesis,Layer 7 — Self-Healing,The Seven Layers of QiOS Governance (The Constitution),"Merged: - dedupe - versioning - quarantine Final cleanup and protection.",1
QiEOS Genesis,Semantic Layer (The Meaning Lobe),,"Defines QiOS cognitive behavior. ""GINA may boost routing or mask views using sensitivity/classification metadata.""",1
QiEOS Genesis,Semantic Ingestion,Semantic Layer (The Meaning Lobe),Extract text, OCR, embed, chunk, build SemanticProfile.,1
QiEOS Genesis,Vector Index,Semantic Layer (The Meaning Lobe),Stores embeddings, chunk metadata, realm guesses, route confidence.,1
QiEOS Genesis,Retrieval-Augmented Governance,Semantic Layer (The Meaning Lobe),"GINA uses retrieval to guide: - classification - routing - metadata generation - duplicate detection",1
QiEOS Genesis,Feedback Loop,Semantic Layer (The Meaning Lobe),Human corrections update RoutingPrior and improve system intelligence.,1
QiEOS Genesis,Data Model (God Tables),,"Foundational entities: - File / Node - Realm / Universe - OrganizationRule - RenamingRule - SemanticProfile - VectorIndex - AutomationLog - RoutingPrior - HumanReview - SystemEvent",1
QiEOS Genesis,Canonical Folder Structure,,"QiOS/ apps/ workers/ components/ workflows/ data/ schemas/ migrations/ policies/ sheets/ vector/ cache/ realms/ qivault/ qiclients/ qipersonal/ qibusiness/ archives/ rules/ security/ connections/ sites/ docs/ darkmatter/ templates/ projects/ Each folder contains a README defining purpose and governance.",1
QiEOS Genesis,Sample Realm Trees (Assets live inside Realms),Canonical Folder Structure,"**Personal Realm** realms/ qipersonal/ kb/ data/ assets/ images/ videos/ audio/ documents/ **Client Realm (example)** realms/ qiclients/ inh/ kb/ data/ assets/ images/ reports/ branding/ .meta/ .archive/ **Business Realm** realms/ qibusiness/ kb/ data/ assets/ images/ branding/ social/ videos/ ads/ demos/ audio/ sites/ .meta/",1
QiEOS Genesis,File‑Type vs Realm Reminder,Canonical Folder Structure,"- **Realm decides ownership/context (Personal, Clients, Business, Vault).** - **Assets decide format (image, video, audio, design, export).** The linter routes by meaning first, format second.",1
QiEOS Genesis,The QiOS Contract,,"Everything in QiOS must obey: - Structure - Identity - Meaning - Metadata - Routing - Versioning - Governance - Memory - Learning Any violation triggers GINA's intervention.",1
QiEOS Genesis,The Vision,,"QiOS is a **cognitive operating system**, not a file system. A platform for: - self-organization - automated context - intelligent retrieval - human augmentation - structured knowledge - lifelong memory **QiOS + GINA is the lifetime brain you never had but always needed.** This is Day Zero.",1

