Name,Service ID CRM,Description,Unit Rate,Unit Price,Minus Overhead .22,Commission Rate,Commision Amount,Service Duration (hours),Product Code caT,SubCategory,Entity,Product Type,Service Tags,Product Active
1. Business Formation and Compliance,,"Business Formation and Compliance: Your Gateway to Success!

- Seamless business setup process
- Ensure compliance with local regulations
- Expert guidance to navigate legal requirements
- Tailored solutions for your unique business needs

Start your entrepreneurial journey with confidence. Utilize our Business Formation and Compliance service today to lay a strong foundation for your business success!",Unit,$0.00,0,0.2,0,3,BIZ,Main,Indiana Secretary of State,Service,"Business Licensing, Entity Formation",Yes
2. Tax Services and Accounting,,"Unlock your business potential with our comprehensive Tax Services and Accounting solutions!

- Entity Formation and Registration
- Business Licensing
- Corporate Governance

Our expert team is dedicated to ensuring your business complies with all regulations while maximizing efficiency. Take the first step towards financial success—contact us today to learn more about how we can support your business needs!",Unit,$0.00,0,0.2,0,3,TAX,Main,Internal Revenue Service,Service,"Business Licensing, Corporate Governance, Entity Formation",Yes
3. HR & Administrative Services,,"Unlock the potential of your workforce with our comprehensive HR & Administrative Services!

- Expert HR Documentation and Policies
- Streamlined Employee Benefits and Management
- Effective Training and Compliance Solutions

Enhance your organization's efficiency and employee satisfaction with our tailored services. Contact us today to elevate your HR practices!",Unit,$0.00,0,0.2,0,3,HRA,Main,Internal,Service,"Employee Benefits, Training Compliance, Workforce Management",Yes
4. IT Services,,"Unlock seamless IT solutions with our comprehensive IT Services! Our expert offerings ensure your technology runs smoothly and securely.
• Hardware and Network Setup
• Security and Maintenance
• Cloud and System Management
Experience peace of mind with our dedicated IT support. Contact us today to elevate your business's technology infrastructure!",Unit,$0.00,0,0.2,0,4,ITA,Main,Internal,Service,"Business IT Support, Comprehensive IT Solutions, Technology Integration Services",Yes
5. Marketing and Branding,,,,,0,,0,,,,,,,No
6. Document Services,,"Unlock seamless document solutions with our comprehensive Document Services! Whether you need to manage, print, or authenticate your important papers, we have you covered.
• Print and Certification Services: Ensure your documents are professionally printed and certified.
• Document Management: Organize and store your documents efficiently.
• Translation and Authentication: Get your documents translated and authenticated with ease.
Experience hassle-free document handling today! Contact us to learn more about how our services can meet your needs.",Unit,$0.00,0,0.2,0,2,DOC,Main,Internal,Service,"Document Solutions, Professional Printing, Translation Services",Yes
7. Other Business Support,,"Unlock your business potential with our expert consulting services! Our tailored solutions are designed to elevate your organization through strategic insights and innovative approaches.

- Business Strategy: Develop a clear roadmap for success.
- Technology and Digital Transformation: Embrace the future with cutting-edge technology.
- Risk Management and Compliance: Safeguard your business with robust risk strategies.

Experience the difference our consulting services can make. Contact us today to start your journey towards success!",Unit,$0.00,0,0.01,0,5,COS,Main,Internal,Service,"Business Strategy, Digital Transformation, Risk Management",Yes
Apostille Services,,"Unlock the power of hassle-free document verification with our Apostille Services!

- Fast and reliable processing
- Expert guidance through the entire apostille process
- Compliance with international document standards
- Tailored solutions for personal and business needs

Experience peace of mind knowing your documents are in expert hands. Contact us today to streamline your apostille needs!",Unit,$49.00,38.22,0.2,7.644,3,DOC,,,Service,Document Solutions,Yes
BLS for BCS,,,,,0,,0,,,,,,,No
BMV SERVICE FEE,,,Unit,$300.00,234,0.2,46.8,2,DOC,,,Service,"Commission Management, Pricing Strategies, Service Fee",Yes
"Business Core Essentials: State Registration, Merchant License and EIN Application",,"Unlock your business potential with our comprehensive Business Core Essentials package!

- State Registration: Ensure your business is legally recognized.
- Merchant License: Obtain the necessary permits to operate.
- EIN Application: Secure your Employer Identification Number for tax purposes.

For just $349.00, this one-hour service will streamline your business setup process. Don’t miss out on the opportunity to establish your business with confidence—get started today!",Package,$349.00,272.22,0.2,54.444,5,BIZ,State,,Service,"Business Licensing, Entity Formation",Yes
Business Dissolution Services,,"Business Dissolution Services: Streamline Your Exit with Ease!

- Expert assistance in dissolving your business efficiently
- Affordable unit rate of $119.00 for 1 hour of service
- Active and ready to help you navigate the dissolution process
- Product Code: BIZ for easy reference

Don't let the complexities of business dissolution overwhelm you. Our dedicated team is here to guide you every step of the way. Contact us today to get started!",Unit,$119.00,92.82,0.2,18.564,5,BIZ,Filing,,Service,Business Strategy,Yes
Business Strategic Planning & Compliance,,"Business Strategic Planning & Compliance: Elevate your business with expert guidance!

- Unit Rate: Hour
- Service Duration: 3 hours
- Product Code: BIZ
- Unit Price: $99.00
- Product Active: Yes

Unlock your business's potential with our strategic planning and compliance services. Designed to help you navigate the complexities of business operations, our expert team is ready to assist you. Don't miss out on the opportunity to optimize your business strategy—contact us today!",Hour,$99.00,77.22,0.2,15.444,10,BIZ,Planning,,Service,Business Strategy,Yes
Cloud Services,,,Unit,$99.00,77.22,0.2,15.444,3,ITA,,,Service,"Cloud Services, Comprehensive IT Solutions, Technology Integration Services",Yes
Compensation & Benefits Planning,,,Unit,$999.00,779.22,0.2,155.844,10,HRA,,,Service,Employee Benefits,Yes
Document Scanning & Digitization,,,Unit,$19.00,14.82,0.2,2.964,3,DOC,,,Service,Document Solutions,Yes
Document Translation Services,,,Unit,$49.00,38.22,0.2,7.644,3,DOC,,,Service,Translation Services,Yes
Electronic Payment Fee,,,Unit,$0.05,0.039,0.2,0.0078,2,HRA,,,Service,"Fee Management, Payment Processing, Transaction Services",Yes
Employee Benefits Administration,,"Employee Benefits Administration: Streamline Your Employee Benefits Management

- Comprehensive management of employee benefits
- User-friendly interface for easy navigation
- Customizable options to fit your organization’s needs
- Real-time updates and reporting capabilities
- Dedicated support for seamless implementation

Transform the way you manage employee benefits with our innovative solution. Experience efficiency and clarity in your benefits administration today!",Unit,$999.00,779.22,0.2,155.844,5,HRA,,,Service,Employee Benefits,Yes
Employee Handbook Creation,,,Unit,$499.00,389.22,0.2,77.844,10,HRA,,,Service,Employee Handbook Services,Yes
Federal BOIR Filing Services,6378628000004064003,"Federal BOIR Filing Services: Streamline Your Business Operations Today!

- Unit Rate: Unit
- Service Duration: 2 hours
- Product Code: BIZ
- Unit Price: $149.00
- Product Active: Yes

Optimize your federal filing process with our efficient BOIR Filing Services. Perfect for businesses looking to simplify compliance and save time. Don’t miss out on the opportunity to enhance your operational efficiency—contact us today to get started!",Unit,$149.00,116.22,0.2,23.244,3,BIZ,Filing,FINCEN,Service,Business Licensing,Yes
Federal EIN Registration,,"Get your Federal EIN Registration quickly and easily! Perfect for businesses looking to establish their identity with the IRS.

- Active product status
- Service duration: 1 hour
- Product code: BIZ
- Affordable unit price: $119.00

Secure your EIN today and streamline your business operations. Don't wait—take the first step towards your business success!",,$119.00,92.82,,0,2,BIZ,IRS,,Service,"Business Licensing, EIN Registration, Entity Formation",Yes
General Consult,,"General Consult: Unlock Your Potential with Expert Planning Services!
• Unit Rate: Hourly
• Commission Rate: 0.01
• Product Active: Yes
• Entity: Internal
• SubCategory: Planning
• Product Code: COS
• Unit Price: $49.00
• Product Type: Service
Transform your ideas into actionable plans with our General Consult service. For just $49 per hour, benefit from expert guidance tailored to your needs. Don't miss the opportunity to elevate your projects—contact us today to get started!",Hour,$49.00,38.22,0.01,0.3822,2,COS,Planning,Internal,Service,Business Strategy,Yes
Hardware Setup & Installation,,,Unit,$99.00,77.22,0.2,15.444,3,ITA,,,Service,"Comprehensive IT Solutions, Hardware Installation, Technology Integration Services",Yes
HR & Administrative Services,,,Unit,,0,0.2,0,5,HRA,,,Service,"Employee Benefits, HR Services, Workforce Management",Yes
HR Analytics & Reporting,,,Unit,,0,0.2,0,5,HRA,,,Service,"Business Strategy, HR Analytics, Workforce Management",Yes
HR Compliance Audits,,,Unit,,0,0.2,0,5,HRA,,,Service,"HR Compliance, Risk Management, Training Compliance",Yes
HR Documentation & Policy Development,,,Unit,,0,0.2,0,5,HRA,,,Service,"Document Solutions, HR Policy Development, Workforce Management",Yes
HR Implementation,,,Unit,"$17,999.00",14039.22,0.2,2807.844,2,HRA,,,Service,"Employee Benefits, HR Implementation Services, Workforce Management",Yes
HRIS Implementation,,,Unit,"$1,168.00",911.04,0.2,182.208,5,HRA,,,Service,"HRIS Implementation, Technology Integration Services, Workforce Management",Yes
Indiana and Local Tax Registration,,"Unlock your business potential with our Indiana and Local Tax Registration service!

- Product Active: Yes
- Service Duration: 1 hour
- Product Code: BIZ
- Unit Price: $149.00

Ensure compliance and streamline your tax registration process with our expert service. Don't miss out—get started today and secure your business's future!",,$149.00,116.22,,0,2,BIZ,State,,Service,"Business Licensing, Compliance Services, Entity Formation",Yes
Indiana BMV Duplicate Title Application,,"Get your Indiana BMV Duplicate Title Application quickly and easily!

- Fast processing time: Only 2 hours
- Affordable price: Just $100
- Active product for immediate use
- Commission rate: 0%

Don't let a lost title slow you down. Use our service today to secure your duplicate title hassle-free!",Unit,$100.00,78,0.2,15.6,2,BIZ,BMV,,Service,Document Solutions,Yes
Indiana BMV Services Plates,,"Indiana BMV Services Plates: Streamline Your Vehicle Registration Process!

- Unit Rate: Unit
- Commission Rate: 0%
- Product Active: Yes
- Service Duration: 3 hours
- Product Code: BIZ
- Unit Price: $400.00

Experience hassle-free vehicle registration with Indiana BMV Services Plates. Our efficient service ensures you get your plates quickly and without any hidden fees. Don’t wait—take advantage of our streamlined process today!",Unit,$400.00,312,0.2,62.4,2,BIZ,BMV,,Service,Business Strategy,Yes
Indiana Business DBA/Fictitious Name Registration,,"Register your business name in Indiana effortlessly! Our DBA/Fictitious Name Registration service ensures your business is recognized and compliant.

- Unit Rate: 1 hour of service
- Product Code: BIZ
- Unit Price: $99.00
- Active Service: Yes

Secure your business identity today and stand out in the market. Take the first step towards establishing your brand with our reliable registration service!",Unit,$99.00,77.22,0.2,15.444,2,BIZ,Filing,,Service,"Business Licensing, Entity Formation",Yes
Indiana Business Entity Formation,,,,$199.00,155.22,,0,5,BIZ,Filing,,Service,Entity Formation,Yes
Indiana Business Entity Report,,"Business Entity Report for Indiana - Essential for Entrepreneurs!

- Comprehensive report from the Indiana Secretary of State
- Active product status ensuring up-to-date information
- Service duration of 1 hour for quick access
- Competitive unit price of $119.00

Unlock the potential of your business with our Indiana Business Entity Report. Perfect for entrepreneurs and business owners looking to stay compliant and informed. Get started today!",Unit,$119.00,92.82,0.2,18.564,2,BIZ,Filing,Indiana Secretary of State,Service,"Business Licensing, Entity Formation",Yes
IT Infrastructure Planning,,,Unit,$499.00,389.22,0.2,77.844,10,ITA,,,Service,"Comprehensive IT Solutions, IT Infrastructure Services, Technology Integration Services",Yes
IT Training & Support,,,Hour,$99.00,77.22,0.2,15.444,3,ITA,,,Service,"Business IT Support, Technology Integration Services, Training Compliance",Yes
Leave Management Administration,,,Unit,,0,0.2,0,5,HRA,,,Service,"Corporate Governance, Employee Benefits, Workforce Management",Yes
Legal Document Preparation,,,Unit,$49.00,38.22,0.2,7.644,5,DOC,,,,Legal Document Services,Yes
LFCEL01,,,Unit,$30.00,23.4,0.2,4.68,2,DOC,,,Service,"Commission Structure, Product Management, Service Pricing",Yes
Notary Services,,"Notary Services: Your Trusted Partner for Legal Document Authentication!

- Professional and reliable notary services
- Convenient mobile notary options available
- Fast turnaround times for document signing
- Experienced notaries ready to assist you
- Competitive pricing with no hidden fees

Ensure your important documents are legally recognized and secure. Contact us today to schedule your notary service and experience peace of mind!",Unit,$10.00,7.8,0.2,1.56,2,DOC,,,,Document Solutions,Yes
Passport Photo Services,,"Passport Photo Services: Capture Your Perfect Identity Photo!

- Quick and easy passport photo processing
- Compliant with all official guidelines
- Professional quality images
- Convenient locations and online booking
- Affordable pricing for all budgets

Ensure your passport photo meets all requirements with our expert services. Don’t wait—get your passport photo taken today and travel with confidence!",Unit,$49.00,38.22,0.2,7.644,2,DOC,,,,Document Solutions,Yes
Performance Management Systems,,,Unit,,0,0.2,0,3,HRA,,,Service,"Employee Benefits, Performance Management, Workforce Management",Yes
Print Service A-0C1L2C4B,,,Unit,$5.00,3.9,0.2,0.78,2,DOC,,,Service,"Document Solutions, Professional Printing",Yes
Print Service B-1C1L5C10B,,,Package,$10.00,7.8,0.2,1.56,2,DOC,,,Service,Professional Printing,Yes
Print Service C-3C2L15C20B,,,Package,$20.00,15.6,0.2,3.12,3,DOC,,,Service,Professional Printing,Yes
Print Service D-10C4L40C50B,,,Package,$40.00,31.2,0.2,6.24,5,DOC,,,Service,Professional Printing,Yes
Print Service E-15C5L50C80B,,,Package,$60.00,46.8,0.2,9.36,5,DOC,,,Service,Professional Printing,Yes
Print Service F-15C5L60C100B,,,Package,$80.00,62.4,0.2,12.48,2,DOC,,,Service,Professional Printing,Yes
